	EntryID	Headword	subcategories
0	d2e13Meyers-1905	A [1]	A.E.I.O.U.
1	d2e3408Meyers-1905	Abbas II. Hilmi	Abbas II. Hilmi
2	d2e5142Meyers-1905	Abdullah II.	Abdullah II.
3	d2e131900Meyers-1905	Anno II.	Anno II.
4	d2e196057Meyers-1905	Asien	I. Inkagirisch.
5	d2e196057Meyers-1905	Asien	II. Korjakisch, Tschuktschisch.
6	d2e196057Meyers-1905	Asien	III. Sprachen von Kamtschakta und Kurilen (Aino).
7	d2e196057Meyers-1905	Asien	I. Uralaltaische Sprachen.
8	d2e196057Meyers-1905	Asien	II. Japanisch.
9	d2e196057Meyers-1905	Asien	III. Koreanisch.
10	d2e196057Meyers-1905	Asien	I. Drawida-Sprachen:
11	d2e196057Meyers-1905	Asien	II. Singhalesisch (Elu).
12	d2e196057Meyers-1905	Asien	III. Malaiisch-polynesische Gruppe.
13	d2e196057Meyers-1905	Asien	I. Kaukasische Sprachen.
14	d2e196057Meyers-1905	Asien	II. Semitische Sprachen.
15	d2e196057Meyers-1905	Asien	III. Indogermanische Sprache.
16	d2e357295Meyers-1905	Bertolds I. Orden	Bertolds I. Orden
17	d2e523824Meyers-1905	Bundesrat	I. Stimmenverhältnisse
18	d2e523824Meyers-1905	Bundesrat	II. Zuständigkeit
19	d2e523824Meyers-1905	Bundesrat	III. Geschäftsgang
20	d2e539000Meyers-1905	C [1]	C. A. I.
21	d2e539000Meyers-1905	C [1]	C. I. E.
22	d2e539000Meyers-1905	C [1]	C. S. I.
23	d2e598304Meyers-1905	Charĭbert I.	Charĭbert I.
24	d2e709437Meyers-1905	D [1]	d. I.
25	d2e711730Meyers-1905	Dachstuhl	I. Hölzerne Dachstühle
26	d2e711730Meyers-1905	Dachstuhl	II. Eiserne Dachstühle
27	d2e779165Meyers-1905	Deutschland	VII. Industrie.
28	d2e779165Meyers-1905	Deutschland	VIII. Handel und Verkehr.
29	d2e881564Meyers-1905	E [1]	E. I. (C.),
30	d2e900735Meyers-1905	Eiche Karls II.	Eiche Karls II.
31	d2e919810Meyers-1905	Eisenbahntarife	I. Eisenbahnpersonen- und -Gepäcktarife.
32	d2e919810Meyers-1905	Eisenbahntarife	II. Eisenbahngütertarife. A. Deutschland.
33	d2e1113035Meyers-1905	Finnische Sprache und Literatur	I. Die schwedische Literatur
34	d2e1113035Meyers-1905	Finnische Sprache und Literatur	II. Literatur in finnischer Sprache.
35	d2e1113035Meyers-1905	Finnische Sprache und Literatur	III. Wissenschaftliche Literatur.
36	d2e1118441Meyers-1905	Fischerei	I. Die Binnenfischerei.
37	d2e1118441Meyers-1905	Fischerei	II. Die Küstenfischerei
38	d2e1118441Meyers-1905	Fischerei	III. Die Seefischerei
39	d2e1174105Meyers-1905	Franz I.-Orden	Franz I.-Orden
40	d2e1219955Meyers-1905	G [1]	G.B. & I.,
41	d2e1219955Meyers-1905	G [1]	G.C.S.I.
42	d2e1274033Meyers-1905	Geld	I. Wesen des Geldes
43	d2e1274033Meyers-1905	Geld	II. Vorteile
44	d2e1274033Meyers-1905	Geld	III. Der Geldstoff und dessen notwendige Eigenschaften
45	d2e1274033Meyers-1905	Geld	VI. Geldwert und Güterpreise
46	d2e1296475Meyers-1905	Gerichtsstand	I. Bürgerliche Rechtsstreitigkeiten
47	d2e1296475Meyers-1905	Gerichtsstand	II. Strafsachen
48	d2e1314050Meyers-1905	Gesundheitspflege	I. Öffentliche Gesundheitspflege.
49	d2e1314050Meyers-1905	Gesundheitspflege	II. Sorge für die Besetigung einzelner Gesundheitsgefährdungen. Gesundheits- oder Sanitätspolizei.
50	d2e1314050Meyers-1905	Gesundheitspflege	III. Das Heilwesen.  Medizinalpolizei.
51	d2e1405675Meyers-1905	Griechische Literatur	I. Klassische Periode
52	d2e1405675Meyers-1905	Griechische Literatur	II. Alexandrinische Periode
53	d2e1405675Meyers-1905	Griechische Literatur	III. Römische Periode
54	d2e1450944Meyers-1905	H [1]	H.E.I.C.S.,
55	d2e1450944Meyers-1905	H [1]	H.I.H.,
56	d2e1450944Meyers-1905	H [1]	H.R.I.P.
57	d2e1458986Meyers-1905	Haft	I. Strafsachen.
58	d2e1458986Meyers-1905	Haft	II. Bürgerliche Rechtsstreitigkeiten.
59	d2e1464147Meyers-1905	Hakem I.	Hakem I.
60	d2e1658042Meyers-1905	I	I.C.
61	d2e1658042Meyers-1905	I	I.C.N.
62	d2e1658042Meyers-1905	I	I.C.S.,
63	d2e1658042Meyers-1905	I	I.D.A.
64	d2e1658042Meyers-1905	I	I.E.
65	d2e1658042Meyers-1905	I	I.H.S.
66	d2e1658042Meyers-1905	I	I.L.F.,
67	d2e1658042Meyers-1905	I	I.N.D. (C.)
68	d2e1658042Meyers-1905	I	I.N.J.
69	d2e1658042Meyers-1905	I	I.N.R.I.
70	d2e1658042Meyers-1905	I	I.N.S.T.
71	d2e1658042Meyers-1905	I	I.O.O.F.
72	d2e1658042Meyers-1905	I	I.R.,
73	d2e1658042Meyers-1905	I	I.R.O.
74	d2e1658042Meyers-1905	I	I.U.D.
75	d2e1752255Meyers-1905	Joachim I. Napoleon	Joachim I. Napoleon
76	d2e1779840Meyers-1905	K	K.C.S.I.,
77	d2e1787397Meyers-1905	Kaiser Alexander III.-Hafen	Kaiser Alexander III.-Hafen
78	d2e1788195Meyers-1905	Kaiser Nikolaus II.-Gebirge	Kaiser Nikolaus II.-Gebirge
79	d2e1788806Meyers-1905	Kaiser Wilhelm II.-Land	Kaiser Wilhelm II.-Land
80	d2e1790828Meyers-1905	Kalakaua I.	Kalakaua I.
81	d2e1959766Meyers-1905	König Oskar II.-Land	König Oskar II.-Land
82	d2e2020747Meyers-1905	Kriminalität	4) Frankreich (vgl. Karte II.).
83	d2e2022269Meyers-1905	Kristall	I.Reguläres
84	d2e2148221Meyers-1905	Leopold II.-See.	Leopold II.-See.
85	d2e2240591Meyers-1905	M	M.I.C.E.,
86	d2e2392315Meyers-1905	Michael Obrenović III.	Michael Obrenović III.
87	d2e2594936Meyers-1905	Norodom I.	Norodom I.
88	d2e2654625Meyers-1905	Orden	I. Geistliche Orden.
89	d2e2779617Meyers-1905	Peter I.-Insel	Peter I.-Insel
90	d2e2796127Meyers-1905	Pflanzensystem	I. Thallophyten oder Lagerpflanzen.
91	d2e2796127Meyers-1905	Pflanzensystem	II. Bryophyten oder Moospflanzen.
92	d2e2796127Meyers-1905	Pflanzensystem	III. Pteridophyten oder Gefäßkryptogamen.
93	d2e2796127Meyers-1905	Pflanzensystem	I.Phytosarcodina
94	d2e2796127Meyers-1905	Pflanzensystem	II.Schizophyta.
95	d2e2796127Meyers-1905	Pflanzensystem	III.Flagellatae.
96	d2e2796127Meyers-1905	Pflanzensystem	VI.Chlorophyceae.
97	d2e2796127Meyers-1905	Pflanzensystem	VII.Charales.
98	d2e2796127Meyers-1905	Pflanzensystem	VIII.Phaeophyceae.
99	d2e2796127Meyers-1905	Pflanzensystem	XI.Embryophyta asiphonogama
100	d2e2796127Meyers-1905	Pflanzensystem	XII.Embryophyta siphonogama
101	d2e2802816Meyers-1905	Pharnăkes II.	Pharnăkes II.
102	d2e2969419Meyers-1905	R	R.I.
103	d2e2969419Meyers-1905	R	R.I.P.,
104	d2e2969419Meyers-1905	R	R.I.S.A.
105	d2e3044590Meyers-1905	Reuß, Heinrich VII.	Reuß, Heinrich VII.
106	d2e3094173Meyers-1905	Römisches Reich	I. Römische Altertümer.
107	d2e3094173Meyers-1905	Römisches Reich	II. Geschichte.
108	d2e3140647Meyers-1905	S	S.A.I.
109	d2e3140647Meyers-1905	S	S.R.I.
110	d2e3169824Meyers-1905	Salomo III.	Salomo III.
111	d2e3208370Meyers-1905	Säugetiere	I.Alpacentalia
112	d2e3208370Meyers-1905	Säugetiere	II.Placentalia
113	d2e3763160Meyers-1905	V, v	V.R.I.
114	d2e3838954Meyers-1905	W	W.I.R.
115	d2e3852057Meyers-1905	Wale	I. Zeuglodonten
116	d2e3852057Meyers-1905	Wale	II. Seekühe
117	d2e3852057Meyers-1905	Wale	III. Echte fleischfressende Wale
118	d2e3929968Meyers-1905	Wirbeltiere	I. Schädellose
119	d2e3929968Meyers-1905	Wirbeltiere	II. Schädeltragende
120	d2e3964277Meyers-1905	Zahnlücker	I. Tillodontier
121	d2e3964277Meyers-1905	Zahnlücker	II. Riesenfaultiere
122	d2e3964277Meyers-1905	Zahnlücker	III. Faultiere
123	d2e3964277Meyers-1905	Zahnlücker	VI. Ameisenfresser
124	d2e3964277Meyers-1905	Zahnlücker	VII. Erdschweine
